journal,title,year,nchar,is_empty,is_abstract,r_did,r_rdd,r_internet,r_ols,r_arch,r_natexp,r_financialcrisis,r_identification,r_data,r_bigdata,r_admin,r_ml,r_python
Journal of Agricultural and Resource Economics,On the Aggregation of Money Measures of Well-Being in Applied Welfare Economics,1992,55154,False,False,0,0,0,0,0,0,0,0,8,0,0,0,0
Journal of Agricultural and Resource Economics,Impacts of Liberalizing the Japanese Pork Market,1992,1006,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,"Cash Forward Contracting versus Hedging of Fed Cattle, and the Impact of Cash Contracting on Cash Prices",1992,38661,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,"Optimal Risk Management, Risk Aversion, and Production Function Properties",1992,29850,False,False,0,0,0,1,0,0,0,3,8,0,0,0,0
Journal of Agricultural and Resource Economics,Market Windows and Hedonic Price Analyses: An Application to the Apple Industry,1992,46232,False,False,0,0,0,0,0,0,0,0,16,0,0,0,0
Journal of Agricultural and Resource Economics,The Value of Reducing Temporal Input Nonuniformities,1992,11524,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Invited Papers, WAEA Annual Meetings",1992,49004,False,False,0,0,0,0,0,0,0,0,4,0,0,0,0
Journal of Agricultural and Resource Economics,A Rotterdam Application to International Trade in Fresh Apples: A Differential Approach,1992,61682,False,False,0,0,0,0,0,0,0,0,47,0,0,0,0
Journal of Agricultural and Resource Economics,A Class of Separability Flexible Functional Forms,1992,36624,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,"A Multicrop Production Model of Irrigated Agriculture, Applied to Water Allocation Policy of the Bureau of Reclamation",1992,27192,False,False,0,0,0,7,41,0,0,0,23,0,0,0,0
Journal of Agricultural and Resource Economics,Heteroskedasticity in Crop Yield Models,1992,43792,False,False,0,0,0,0,0,0,0,0,19,0,0,0,0
Journal of Agricultural and Resource Economics,An Analysis of Factors Associated with Consumers' Use of Grocery Coupons,1992,34031,False,False,0,0,0,1,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,Farm Operating Risk and Cash Rent Determination,1992,39510,False,False,0,0,0,14,0,0,0,1,20,0,0,0,0
Journal of Agricultural and Resource Economics,An Analysis of Economic Efficiency in Agriculture: A Nonparametric Approach,1993,45461,False,False,0,0,0,0,0,0,0,0,42,0,0,0,0
Journal of Agricultural and Resource Economics,The Dynamic Effects of Agricultural Subsidies in the United States,1993,39428,False,False,0,0,0,0,1,0,0,0,18,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Selected Papers, WAEA Annual Meetings",1993,43796,False,False,0,0,0,10,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,On the Estimation of Separable Demand Models,1993,31793,False,False,0,0,0,0,0,0,0,0,19,0,0,0,0
Journal of Agricultural and Resource Economics,Functional Form and U.S. Agricultural Production Elasticities,1993,59858,False,False,0,0,0,6,0,0,0,0,37,0,0,0,0
Journal of Agricultural and Resource Economics,Do Corn Farmers Have Too Much Faith in the Sugar Program?,1993,73732,False,False,0,0,0,0,0,0,0,0,3,0,0,0,0
Journal of Agricultural and Resource Economics,Sectoral Effects of a World Oil Price Shock: Economywide Linkages to the Agricultural Sector,1993,15804,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0
Journal of Agricultural and Resource Economics,The Robustness of Single Index Models in Crop Markets: A Multiple Index Model Test: Comment,1993,49080,False,False,0,0,0,1,0,0,0,0,20,0,0,0,0
Journal of Agricultural and Resource Economics,Clearance Sales in the Farmland Market?,1993,38473,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,Wheat Cleaning Decisions at Country Elevators,1993,35016,False,False,0,0,0,3,1,0,0,1,14,0,0,0,0
Journal of Agricultural and Resource Economics,Monetary Impacts on Prices in the Short and Long Run: Further Results for the United States,1993,42271,False,False,0,0,0,1,0,0,0,1,9,0,0,0,0
Journal of Agricultural and Resource Economics,Quantifying the Effects of New Product Development: The Case of Low-Fat Ground Beef,1993,47119,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Risk and Probability Premiums for Cara Utility Functions,1993,45474,False,False,0,0,0,3,0,0,0,0,3,0,0,0,0
Journal of Agricultural and Resource Economics,On Modeling Systems of Crop Acreage Demands,1993,20715,False,False,0,0,0,0,0,0,0,0,3,0,0,0,0
Journal of Agricultural and Resource Economics,The Robustness of Single Index Models in Crop Markets: A Multiple Index Model Test: Reply,1993,36320,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0
Journal of Agricultural and Resource Economics,Valuing Ambiguity: The Case of Genetically Engineered Growth Enhancers,1993,44787,False,False,0,0,0,6,0,0,0,0,22,0,0,0,0
Journal of Agricultural and Resource Economics,Comparison of Liquidity Costs between the Kansas City and Chicago Wheat Futures Contracts,1993,40157,False,False,0,0,0,4,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,Measuring Food Safety Preferences: Identifying Consumer Segments,1993,25990,False,False,0,0,0,1,0,0,0,3,6,0,0,0,0
Journal of Agricultural and Resource Economics,Beef Quality: Will Consumers Pay for Less Fat?,1993,10808,False,False,0,0,0,0,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Invited Papers, WAEA Annual Meetings",1993,28971,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,Farm Value of Topsoil in Spring Wheat Production,1993,28383,False,False,0,0,0,0,0,0,0,0,34,0,0,0,0
Journal of Agricultural and Resource Economics,A Nonparametric Efficiency Analysis of California Cotton Ginning Cooperatives,1993,42208,False,False,0,0,0,0,0,0,0,0,31,0,0,0,0
Journal of Agricultural and Resource Economics,The Impact of Pollution Controls on Livestock-Crop Producers,1993,32321,False,False,0,0,0,16,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,"Acreage Response, Expected Price Functions, and Endogenous Price Expectations",1993,32906,False,False,0,0,0,0,0,0,0,1,10,0,0,0,0
Journal of Agricultural and Resource Economics,A GSD Estimation of the Relative Worth of Cover Crops in Cotton Production Systems,1993,52297,False,False,0,0,0,0,0,0,0,0,19,0,0,0,0
Journal of Agricultural and Resource Economics,Electronic Market Use by Oklahoma Lamb Producers,1993,44048,False,False,0,0,0,0,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,Lifetime Leverage Choice for Proprietary Farmers in a Dynamic Stochastic Environment,1993,69118,False,False,0,0,0,0,2,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,Simultaneity of Technology Adoption and Productivity,1994,44851,False,False,0,0,0,0,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,Economic Effects of U.S. Dairy Programs,1994,52851,False,False,0,0,0,0,0,0,0,0,23,0,0,0,0
Journal of Agricultural and Resource Economics,Econometric Production Models with Endogenous Input Timing: An Application to Ecuadorian Potato Production,1994,44177,False,False,0,0,0,0,0,0,0,0,7,0,0,0,0
Journal of Agricultural and Resource Economics,Habit Formation and Variety Seeking in a Discrete Choice Model of Recreation Demand,1994,38545,False,False,0,0,0,0,0,0,0,0,31,0,0,0,0
Journal of Agricultural and Resource Economics,Estimating Revenue-Capture Potential Associated with Public Area Recreation,1994,44540,False,False,0,0,0,0,0,0,0,0,12,0,0,0,0
Journal of Agricultural and Resource Economics,Differences in Contingent Valuation Estimates from Referendum and Checklist Questions,1994,40928,False,False,0,0,0,16,0,0,0,0,70,0,0,0,0
Journal of Agricultural and Resource Economics,When Flexible Forms Are Asked to Flex Too Much,1994,36889,False,False,0,0,0,0,0,0,0,2,13,0,0,0,0
Journal of Agricultural and Resource Economics,The Cyclical Nature of the U.S. Sheep Industry,1994,42793,False,False,0,0,0,2,1,0,0,0,13,0,0,0,0
Journal of Agricultural and Resource Economics,Cattle Feeder Behavior and Feeder Cattle Placements,1994,43272,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,The Value of Information in Herbicide Decision Making for Weed Control in Australian Wheat Crops,1994,41654,False,False,0,0,0,0,0,0,0,0,21,0,0,0,0
Journal of Agricultural and Resource Economics,Premium Rate Determination in the Federal Crop Insurance Program: What Do Averages Have to Say about Risk?,1994,35663,False,False,0,0,0,0,0,0,0,0,15,0,0,0,0
Journal of Agricultural and Resource Economics,Japanese Meat Import Demand Estimation with the Source Differentiated AIDS Model,1994,49884,False,False,0,0,0,0,0,0,0,0,9,0,0,0,0
Journal of Agricultural and Resource Economics,Two-Stage Utility Maximization and Import Demand Systems Revisited: Limitations and an Alternative,1994,65317,False,False,0,0,0,5,1,0,0,2,26,0,0,0,0
Journal of Agricultural and Resource Economics,The Use of Mean-Variance for Commodity Futures and Options Hedging Decisions,1994,40185,False,False,0,0,0,1,0,0,0,0,26,0,0,0,0
Journal of Agricultural and Resource Economics,Conditional Demand and Endogeneity? A Case Study of Demand for Juice Products,1994,30132,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,The Inverse Lewbel Demand System,1994,42051,False,False,0,0,0,0,0,0,0,0,15,0,0,0,0
Journal of Agricultural and Resource Economics,A Comparison of Demands for Meat Products in the Pacific Rim Region,1994,50014,False,False,0,0,0,1,0,0,0,0,11,0,0,0,0
Journal of Agricultural and Resource Economics,Price-Band Stabilization Programs and Risk: An Application to the U.S. Corn Market,1994,32542,False,False,0,0,0,0,0,0,0,0,9,0,0,0,0
Journal of Agricultural and Resource Economics,Interventions and Production Sector Waste in LDC Agriculture,1994,54485,False,False,0,0,0,1,0,0,0,1,8,0,0,0,0
Journal of Agricultural and Resource Economics,Nutrition Information and Household Dietary Fat Intake,1994,54811,False,False,0,0,0,0,0,0,0,0,14,0,0,0,0
Journal of Agricultural and Resource Economics,The Effect of Quality Assurance Policies for Processing Tomatoes on the Demand for Pesticides,1994,70112,False,False,0,0,0,0,0,0,0,1,9,0,0,0,0
Journal of Agricultural and Resource Economics,Interregional Effects of Reduced Timber Harvests: The Impact of the Northern Spotted Owl Listing in Rural and Urban Oregon,1994,42234,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,Demand for Wheat Classes by Pacific Rim Countries,1994,75071,False,False,0,0,2,1,0,0,0,1,25,0,0,0,0
Journal of Agricultural and Resource Economics,Kansas Wheat Yield Risk Measures and Aggregation: A Meta-Analysis Approach,1994,36254,False,False,0,0,0,1,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,Price-Conditional Technology,1994,43696,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,The Effects of Including Bankruptcy on Dynamic Investment Decisions,1994,46036,False,False,0,0,0,6,0,0,0,1,23,0,0,0,0
Journal of Agricultural and Resource Economics,Yield Response and Production Risk: An Analysis of Integrated Pest Management in Cotton,1994,46868,False,False,0,0,0,0,0,0,0,0,13,0,0,0,0
Journal of Agricultural and Resource Economics,Estimating Corn Yield Response Models to Predict Impacts of Climate Change,1994,36947,False,False,0,0,0,0,0,0,0,0,17,0,0,0,0
Journal of Agricultural and Resource Economics,Modeling Nonnegativity Via Truncated Logistic and Normal Distributions: An Application to Ranch Land Price Analysis,1994,60547,False,False,0,0,0,0,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,"The Economics of Cleaning Winter Wheat for Export: An Evaluation of Proposed Federal ""Clean Grain"" Standards",1994,51693,False,False,0,0,0,0,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,Determinants and Implication of Post-CRP Land Use Decisions,1994,69177,False,False,0,0,0,0,0,0,0,3,8,0,0,0,0
Journal of Agricultural and Resource Economics,What Do We Know about Decision Making under Risk and Where Do We Go from Here?,1994,39790,False,False,0,0,0,0,0,0,0,2,8,0,0,0,0
Journal of Agricultural and Resource Economics,The Rhetoric of Duality,1995,44730,False,False,0,0,0,3,0,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,Recreational and Aesthetic Value of Water Using Hedonic Price Analysis,1995,12849,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Invited Papers, WAEA Annual Meetings",1995,34385,False,False,0,0,0,0,0,0,0,0,19,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Selected Papers, WAEA Annual Meetings",1995,51232,False,False,0,0,0,0,1,0,0,0,1,0,0,0,0
Journal of Agricultural and Resource Economics,System Misspecification Testing and Structural Change in the Demand for Meats,1995,49392,False,False,0,0,0,1,0,0,0,0,7,0,0,0,0
Journal of Agricultural and Resource Economics,Program and Nonprogram Wheat Acreage Responses to Prices and Risk,1995,40883,False,False,0,0,0,0,0,0,0,0,26,0,0,0,0
Journal of Agricultural and Resource Economics,The Effectiveness of U.S. Nonprice Promotion of Almonds in the Pacific Rim,1995,60423,False,False,0,0,0,1,0,0,0,0,38,0,0,0,0
Journal of Agricultural and Resource Economics,Recent Duality Contributions in Production Economics,1995,39376,False,False,0,0,0,0,0,0,0,0,13,0,0,0,0
Journal of Agricultural and Resource Economics,Spillovers and the Returns to Agricultural Research for Potatoes,1995,28620,False,False,0,0,0,0,0,0,0,1,4,0,0,0,0
Journal of Agricultural and Resource Economics,Risk and Market Participant Behavior in the U.S. Slaughter-Cattle Market,1995,42780,False,False,0,0,0,0,0,0,0,0,19,0,0,0,0
Journal of Agricultural and Resource Economics,Land Allocation in the Presence of Estimation Risk,1995,51794,False,False,0,0,0,0,0,0,0,0,19,0,0,0,0
Journal of Agricultural and Resource Economics,Competition and Policy Conflicts in Canada-U.S. Barley Trade,1995,55449,False,False,0,0,3,0,0,0,0,1,68,0,0,0,0
Journal of Agricultural and Resource Economics,A Protocol or a Set of Standards to Guide Agricultural Economics Research,1995,45550,False,False,0,0,0,0,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,Rural-to-Urban Water Transfers: Measuring Direct Foregone Benefits of Irrigation Water under Uncertain Water Supplies,1995,53443,False,False,0,0,0,5,0,0,0,0,89,0,0,0,0
Journal of Agricultural and Resource Economics,Agricultural Producers' Willingness to Pay for Real-Time Mesoscale Weather Information,1995,38506,False,False,0,0,0,1,0,0,0,0,31,0,0,0,0
Journal of Agricultural and Resource Economics,Regulation of Nitrogen Pollution: Taxes versus Quotas,1995,37848,False,False,0,0,0,3,0,0,0,0,35,0,0,0,0
Journal of Agricultural and Resource Economics,Determinants of Nutrient Demand: A Nonparametric Analysis,1995,46302,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Nonlinear Dynamics and Economic Instability: The Optimal Management of a Biological Population,1995,34873,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Transaction Costs and Agricultural Nonpoint-Source Water Pollution Control Policies,1995,37623,False,False,0,0,0,3,0,0,0,0,7,0,0,0,0
Journal of Agricultural and Resource Economics,Market Conduct under Government Price Intervention in the U.S. Dairy Industry,1995,37011,False,False,0,0,0,0,0,0,0,0,4,0,0,0,0
Journal of Agricultural and Resource Economics,Optimal Design of a Voluntary Green Payment Program under Asymmetric Information,1995,55650,False,False,0,0,0,0,0,0,0,0,16,0,0,0,0
Journal of Agricultural and Resource Economics,Technical Efficiency of Rural Water Utilities,1995,38980,False,False,0,0,0,0,0,0,0,0,55,0,0,0,0
Journal of Agricultural and Resource Economics,Obligations and Penalties under Lemon Laws: Automobiles versus Tractors,1995,44518,False,False,0,0,0,0,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,Trade Creation and Diversion Effects of the North American Free Trade Agreement of U.S. Sugar Imports from Mexico,1995,32139,False,False,0,0,0,0,0,0,0,0,4,0,3,0,0
Journal of Agricultural and Resource Economics,A Rangeland Grasshopper Insurance Program,1995,34774,False,False,0,0,0,0,0,0,0,1,13,0,0,0,0
Journal of Agricultural and Resource Economics,Determinants of Cow-Calf Pair Prices,1995,52729,False,False,0,0,0,1,0,0,0,0,15,0,0,0,0
Journal of Agricultural and Resource Economics,"Property Rights, Grazing Permits, and Rancher Welfare",1995,49103,False,False,0,0,0,3,0,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,"Importance of Melon Type, Size, Grade, Container, and Season in Determining Melon Prices",1995,51055,False,False,0,0,0,0,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,Relaxing the Assumptions of Minimum-Variance Hedging,1996,38193,False,False,0,0,0,1,0,0,0,0,12,0,0,0,0
Journal of Agricultural and Resource Economics,Generation of Recyclables by Rural Households,1996,28087,False,False,1,0,0,0,0,0,0,0,34,0,0,0,0
Journal of Agricultural and Resource Economics,Evidence on the Accuracy of Expenditures Reported in Recreational Surveys,1996,30869,False,False,0,0,0,0,0,0,0,0,45,0,0,0,0
Journal of Agricultural and Resource Economics,Hurdle Count-Data Models in Recreation Demand Analysis,1996,44016,False,False,0,0,0,0,0,0,0,0,16,0,0,0,0
Journal of Agricultural and Resource Economics,Accounting for Aggregation Bias in Almost Ideal Demand Systems,1996,29184,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,A Note on High Discount Rates and Depletion of Primary Forests,1996,41933,False,False,0,0,0,0,1,0,0,0,9,0,0,0,0
Journal of Agricultural and Resource Economics,A Symmetric Approach to Canadian Meat Demand Estimation,1996,42006,False,False,0,0,0,4,0,0,0,0,47,0,0,0,0
Journal of Agricultural and Resource Economics,Risk Management Programs in Extension,1996,29644,False,False,0,0,0,2,0,0,0,1,18,0,0,0,0
Journal of Agricultural and Resource Economics,The Influence of Wetland Type and Wetland Proximity on Residential Property Values,1996,51204,False,False,0,0,0,0,0,0,0,0,11,0,0,0,0
Journal of Agricultural and Resource Economics,"Regional Drainwater Management: Source Control, Agroforestry, and Evaporation Ponds",1996,41980,False,False,0,0,0,0,0,0,0,1,1,0,0,0,0
Journal of Agricultural and Resource Economics,Economics of Herbicide Control of Leafy Spurge (Euphorbia esula L.),1996,42342,False,False,0,0,0,3,0,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,Determinants of Purebred Beef Bull Price Differentials,1996,55449,False,False,0,0,0,0,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,Factors Affecting U.S. Demand for Reduced-Fat Fluid Milk,1996,40579,False,False,0,0,0,0,0,0,0,0,5,0,0,0,0
Journal of Agricultural and Resource Economics,Efficiency Tests of July Kansas City Wheat Futures,1996,30052,False,False,0,0,0,0,0,0,0,0,13,0,0,0,0
Journal of Agricultural and Resource Economics,Generic Advertising Wearout: The Case of the New York City Fluid Milk Campaign,1996,30015,False,False,0,0,0,0,0,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,Identifying Implicit Collusion under Declining Output Demand,1996,50198,False,False,0,0,0,0,0,0,0,1,1,0,0,0,0
Journal of Agricultural and Resource Economics,Valuing the Protection of Minimum Instream Flows in New Mexico,1996,49185,False,False,0,0,0,2,0,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,Acreage Responses to Expected Revenues and Price Risk for Minor Oilseeds and Program Crops in the Northern Plains,1996,50862,False,False,0,0,0,1,0,0,0,0,17,0,0,0,0
Journal of Agricultural and Resource Economics,Sources of Growth in U.S. GDP and Economy-Wide Linkages to the Agricultural Sector,1996,38901,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0
Journal of Agricultural and Resource Economics,The Export Enhancement Program's Influence on Firm-Level Competition in International Markets,1996,52872,False,False,0,0,0,0,0,0,0,0,64,0,0,0,0
Journal of Agricultural and Resource Economics,Using Actual and Contingent Behavior Data with Differing Levels of Time Aggregation to Model Recreation Demand,1996,45148,False,False,0,0,0,6,0,0,0,0,8,0,0,0,0
Journal of Agricultural and Resource Economics,Evolving Entitlements: Intervening to Prevent a Collective Harm,1996,45716,False,False,0,0,0,0,0,0,0,0,21,0,0,0,0
Journal of Agricultural and Resource Economics,Household Demand for Finfish: A Generalized Double-Hurdle Model,1996,55253,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Economic Hysteresis and the Effects of Output Regulation,1996,40921,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0
Journal of Agricultural and Resource Economics,Exploring the Role of Mentoring in Agricultural Economics Ph.D. Training,1996,39557,False,False,0,0,0,4,0,0,0,1,15,0,0,0,0
Journal of Agricultural and Resource Economics,Valuing Risk-Reducing Interventions with Hedonic Models: The Case of Erosion Protection,1996,33202,False,False,0,0,0,2,0,0,0,0,12,0,0,0,0
Journal of Agricultural and Resource Economics,The Distinct Impact of Food Stamps on Food Spending,1996,51539,False,False,0,0,0,0,0,0,0,0,18,0,0,0,0
Journal of Agricultural and Resource Economics,Market Allocation Rules for Nonprice Promotion with Farm Programs: U.S. Cotton,1996,53360,False,False,0,0,0,0,0,0,0,0,14,0,0,0,0
Journal of Agricultural and Resource Economics,Implications of Alternative Policies on Nitrate Contamination of Groundwater,1996,40935,False,False,0,0,0,0,0,0,0,0,11,0,0,0,0
Journal of Agricultural and Resource Economics,Welfare Effects of Fishery Policies: Native American Treaty Rights and Recreational Salmon Fishing,1996,51130,False,False,0,0,0,1,0,0,0,0,16,0,0,0,0
Journal of Agricultural and Resource Economics,Household Willingness to Pay for Dropoff Recycling,1997,17002,False,False,0,0,0,0,0,0,0,0,4,0,0,0,0
Journal of Agricultural and Resource Economics,Agricultural Producers' Willingness to Pay for Real-Time Mesoscale Weather Information: A Response,1997,51566,False,False,0,0,0,1,0,0,0,0,10,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Selected Papers, WAEA Annual Meetings",1997,55739,False,False,0,0,0,0,0,0,0,0,15,0,0,0,0
Journal of Agricultural and Resource Economics,Combining Actual and Contingent Behavior Data to Model Farmer Adoption of Water Quality Protection Practices,1997,26667,False,False,0,0,0,0,0,0,0,2,7,0,0,0,0
Journal of Agricultural and Resource Economics,Market Power in the World Market for Soymeal Exports,1997,53794,False,False,0,0,0,0,0,0,0,2,4,0,0,0,0
Journal of Agricultural and Resource Economics,Factors Influencing Rates of Adoption of Trichomoniasis Vaccine by Nevada Range Cattle Producers,1997,6896,False,False,0,0,0,0,0,0,0,0,14,0,0,0,0
Journal of Agricultural and Resource Economics,Pesticide Use and Regulation: Making Economic Sense out of an Externality and Regulation Nightmare,1997,36050,False,False,0,0,0,1,0,0,0,0,6,0,0,0,0
Journal of Agricultural and Resource Economics,Economic Benefits of Critical Habitat for the Mexican Spotted Owl: A Scope Test Using a Multiple-Bounded Contingent Valuation Survey,1997,22210,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,The Political Economy of Public Land Use,1997,39713,False,False,0,0,0,0,0,0,0,0,31,0,0,0,0
Journal of Agricultural and Resource Economics,Assessing the Relationship between Market Factors and Regional Price Dynamics in U.S. Cattle Markets,1997,35460,False,False,0,0,0,1,0,0,0,0,9,0,0,0,0
Journal of Agricultural and Resource Economics,Impacts of GATT/Uruguay Round Trade Negotiations on U.S. Beef and Cattle Prices,1997,54491,False,False,0,0,0,0,0,0,0,1,10,0,0,0,0
Journal of Agricultural and Resource Economics,An Econometric Analysis of Donations for Environmental Conservation in Canada,1997,46026,False,False,0,0,0,1,0,0,0,0,43,0,0,0,0
Journal of Agricultural and Resource Economics,Grass Roots Collective Action: Agricultural Opportunities,1997,53418,False,False,0,0,0,0,0,0,0,0,11,0,0,0,0
Journal of Agricultural and Resource Economics,Meat-Packer Conduct in Fed Cattle Pricing: Multiple-Market Oligopsony Power,1997,33330,False,False,0,0,0,0,0,0,0,0,14,0,0,0,0
Journal of Agricultural and Resource Economics,Risk Research and Public Outreach: A Tale of Two Cultures?,1997,49663,False,False,0,0,0,0,0,0,0,0,25,0,0,0,0
Journal of Agricultural and Resource Economics,Nonmarket Value of Western Valley Ranchland Using Contingent Valuation,1997,44618,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Wheat Yield Response to Changes in Production Practices Induced by Program Provision,1997,28750,False,False,0,0,0,0,0,0,0,0,15,0,0,0,0
Journal of Agricultural and Resource Economics,"Land Allocation, Soil Quality, and the Demand for Irrigation Technology",1997,17573,False,False,0,0,0,0,0,0,0,0,11,0,0,0,0
